materiale,temperatura_estrusore,temperatura_piatto,velocita_stampa,umidita_ambientale,usura_motore,livello_vibrazioni,tempo_stampa_ore,sintomi,guasto
NYLON,266,74,145,54,2138,6,14.9,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ASA,163,40,61,73,4534,10,20.6,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,233,56,154,55,3174,32,58.0,RumoreCinghia;LayerSpostati,GuastoMeccanico
PLA,220,76,150,62,204,11,24.6,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PC,197,41,42,45,1302,25,95.5,HomeFallito,ProblemaElettrico
PLA,233,71,103,39,2118,8,9.7,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,223,77,67,61,1463,21,18.2,TempInstabile,ProblemaElettrico
PC,282,64,133,36,4933,30,61.3,PiattoFreddo,GuastoTermico
PC,158,73,87,36,1316,7,53.9,TempInstabile,GuastoTermico
PC,157,79,113,33,4716,21,45.0,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PC,208,54,53,95,2623,22,43.0,HomeFallito;SchermoNero,ProblemaElettrico
ABS,218,78,90,63,1005,17,3.7,HomeFallito,ProblemaElettrico
NYLON,240,24,89,61,2653,5,74.0,PiattoFreddo,ProblemaAdesione
NYLON,218,64,155,31,6927,31,21.0,TicchettioEstrusore;HomeFallito,GuastoMeccanico
TPU,163,66,81,75,1089,17,54.1,TempInstabile;TempTroppoAlta;TicchettioEstrusore;VentolaRumorosa,GuastoTermico
ABS,204,65,100,53,1044,11,28.4,FilamentoNonEsce,ProblemaAdesione
NYLON,215,39,141,91,2101,19,30.3,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,200,73,96,40,3870,25,78.1,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,227,67,148,37,4418,32,93.2,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
ASA,208,50,196,59,6882,50,64.8,LayerSpostati;SottoEstrusione;HomeFallito;VentolaRumorosa,GuastoMeccanico
PLA,168,41,85,71,1825,5,76.3,PiattoFreddo;SchermoNero,GuastoTermico
TPU,221,43,43,72,3690,13,18.1,TicchettioEstrusore;HomeFallito,GuastoMeccanico
PETG,195,66,68,46,1185,21,21.4,HomeFallito,GuastoMeccanico
PETG,219,63,44,71,1131,6,5.9,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PLA,237,72,185,63,3470,50,13.1,RumoreCinghia;HomeFallito,GuastoMeccanico
PETG,203,69,196,73,6966,57,91.3,RumoreCinghia;LayerSpostati;VentolaRumorosa,GuastoMeccanico
PETG,286,49,107,38,3197,24,7.0,PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,265,61,133,71,4799,33,63.5,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
ASA,226,46,91,80,1752,13,5.8,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,228,52,43,68,349,17,22.8,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PETG,279,58,106,68,4478,8,76.7,TempTroppoAlta;HomeFallito;VentolaRumorosa,GuastoTermico
PETG,219,64,94,40,1561,15,74.7,OdoreBruciato;TicchettioEstrusore,ProblemaElettrico
ABS,220,50,57,71,916,15,92.7,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,197,39,82,37,2723,12,72.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,202,75,104,55,2582,23,36.6,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
TPU,153,59,103,72,2346,24,94.0,PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,222,65,93,72,1926,15,21.9,TempInstabile;HomeFallito,ProblemaElettrico
NYLON,199,50,103,79,1411,10,65.1,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,225,64,53,72,1881,7,81.5,TempInstabile;HomeFallito,ProblemaElettrico
ASA,231,61,147,67,2248,9,50.7,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PC,225,78,111,40,2454,19,28.4,VentolaRumorosa,GuastoTermico
ABS,192,46,111,39,2839,5,93.9,TempInstabile;TicchettioEstrusore;OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,235,40,102,89,2478,25,51.7,TempInstabile;SchermoNero,ProblemaElettrico
ABS,229,42,122,56,615,13,67.0,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,227,79,81,32,1533,7,67.5,TempInstabile,ProblemaElettrico
PETG,240,45,42,75,1957,20,89.5,Warping;FilamentoNonEsce,ProblemaAdesione
PC,214,52,105,67,2020,16,64.6,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,264,71,136,44,1279,12,7.2,TempTroppoAlta,GuastoTermico
PETG,207,32,122,82,3983,51,71.5,Warping;PiattoFreddo;FilamentoNonEsce;SchermoNero,ProblemaAdesione
ABS,153,75,147,49,3261,43,14.6,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,164,53,132,44,3471,46,68.1,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,195,77,132,43,1101,8,42.4,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
ABS,223,42,64,78,1191,7,36.1,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,267,58,122,47,3730,49,34.0,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
TPU,260,74,49,65,2934,7,12.3,PiattoFreddo,GuastoTermico
TPU,207,43,98,95,2459,13,43.1,SchermoNero,ProblemaElettrico
TPU,218,46,113,75,5998,83,86.9,RumoreCinghia;LayerSpostati;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
ASA,215,44,133,66,3881,59,77.8,FilamentoNonEsce,ProblemaAdesione
TPU,202,74,64,56,192,10,50.2,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
ASA,235,44,115,46,1705,23,72.0,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
TPU,205,62,64,61,515,8,17.4,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
PLA,230,72,46,90,1889,18,73.4,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
PC,256,53,77,59,1951,17,55.3,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
NYLON,219,72,80,31,3009,9,56.0,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
PETG,197,47,129,69,3510,44,63.7,HomeFallito;SchermoNero,ProblemaElettrico
ABS,240,60,100,56,1558,13,62.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,193,50,181,43,4652,42,10.0,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
NYLON,228,63,140,51,3816,41,72.2,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,194,52,143,31,3067,43,5.3,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,213,22,89,74,1319,20,92.8,PiattoFreddo,ProblemaAdesione
PLA,195,78,42,60,3335,11,41.6,TicchettioEstrusore,GuastoMeccanico
TPU,213,63,45,49,1055,16,27.7,HomeFallito,ProblemaElettrico
PC,229,44,166,76,5742,50,21.4,RumoreCinghia;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PLA,191,65,45,41,145,21,53.1,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
ASA,210,24,92,64,2265,20,41.0,Warping;TicchettioEstrusore;PiattoFreddo,ProblemaAdesione
ASA,258,40,87,67,1087,16,77.7,PiattoFreddo;VentolaRumorosa,GuastoTermico
ASA,215,71,106,47,2812,20,93.6,PiattoFreddo;SchermoNero,ProblemaAdesione
ABS,191,44,118,74,2109,21,87.4,LayerSpostati;SottoEstrusione;HomeFallito;VentolaRumorosa,GuastoMeccanico
PC,196,80,83,62,2998,24,33.3,RumoreCinghia,GuastoMeccanico
PETG,197,52,58,60,3567,25,84.6,PiattoFreddo,ProblemaAdesione
NYLON,226,70,60,42,2041,22,23.7,LayerSpostati;TicchettioEstrusore;SottoEstrusione;VentolaRumorosa,GuastoMeccanico
PLA,218,66,142,46,6305,35,57.1,LayerSpostati;HomeFallito,GuastoMeccanico
TPU,238,59,148,71,1476,22,46.5,OdoreBruciato,ProblemaElettrico
PLA,236,68,86,71,3335,24,30.4,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ABS,219,44,100,83,310,7,9.8,SchermoNero,ProblemaElettrico
PLA,232,43,112,32,3402,15,23.4,TempInstabile,GuastoTermico
ABS,197,53,84,53,2559,11,10.4,SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,231,35,43,89,2305,15,94.4,Warping;PiattoFreddo;VentolaRumorosa,ProblemaAdesione
PLA,236,60,91,34,2680,24,44.1,VentolaRumorosa;OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
TPU,231,52,83,90,730,7,33.0,FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
ABS,215,74,40,79,3745,15,79.6,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,224,41,150,68,1886,11,88.2,TempInstabile;SchermoNero,ProblemaElettrico
NYLON,207,52,120,62,998,20,79.0,OdoreBruciato,ProblemaElettrico
PETG,195,62,119,71,5508,88,10.7,TicchettioEstrusore,GuastoMeccanico
ASA,156,49,127,66,1216,24,35.8,PiattoFreddo,GuastoTermico
NYLON,216,57,119,83,525,23,76.6,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
TPU,201,47,93,84,2960,16,92.9,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,232,43,114,35,1756,5,72.2,TicchettioEstrusore;HomeFallito,GuastoMeccanico
PLA,220,49,71,57,3304,11,37.6,LayerSpostati;TicchettioEstrusore;HomeFallito;SchermoNero,GuastoMeccanico
ABS,198,61,192,80,6014,40,42.3,SottoEstrusione,GuastoMeccanico
PC,191,47,127,72,627,18,50.9,OdoreBruciato,ProblemaElettrico
PLA,208,50,147,62,820,17,89.6,HomeFallito;TempInstabile;OdoreBruciato,ProblemaElettrico
ABS,235,49,92,74,3664,17,66.2,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
TPU,231,54,41,39,1677,15,92.2,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PC,221,43,116,72,3242,5,8.9,OdoreBruciato;SchermoNero,ProblemaElettrico
ABS,160,42,51,60,4936,7,68.0,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,222,78,171,35,4929,41,83.7,RumoreCinghia;HomeFallito,GuastoMeccanico
PC,201,63,164,74,3217,38,12.4,LayerSpostati;SottoEstrusione,GuastoMeccanico
ABS,267,75,120,42,4871,24,83.0,TempInstabile;TempTroppoAlta,GuastoTermico
ASA,163,60,79,36,4022,5,13.8,TempTroppoAlta;VentolaRumorosa,GuastoTermico
TPU,226,44,149,49,530,23,71.5,TempInstabile,GuastoTermico
TPU,207,39,57,58,986,10,16.9,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
ABS,226,65,143,47,3038,31,86.0,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
TPU,227,34,73,67,3119,22,46.4,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,152,79,96,48,2551,14,76.4,TempInstabile;TicchettioEstrusore;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,217,47,175,80,6130,43,22.3,RumoreCinghia;SottoEstrusione,GuastoMeccanico
PLA,166,52,137,51,1421,7,8.4,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,199,68,142,91,2069,9,42.8,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PC,254,60,72,61,1870,6,54.6,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PC,285,41,147,33,3335,43,39.0,PiattoFreddo,GuastoTermico
NYLON,239,79,116,61,5849,49,20.7,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
NYLON,230,57,182,41,4865,35,29.5,LayerSpostati;HomeFallito,GuastoMeccanico
TPU,229,59,107,63,2037,13,36.7,Warping;HomeFallito;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,218,68,101,68,261,6,21.5,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PC,229,73,118,71,1239,17,46.9,OdoreBruciato;VentolaRumorosa;SchermoNero,ProblemaElettrico
ABS,195,51,140,74,1208,11,16.6,HomeFallito;SchermoNero,ProblemaElettrico
PC,200,48,105,46,440,12,74.8,PiattoFreddo,ProblemaAdesione
NYLON,199,54,180,38,6158,47,36.7,RumoreCinghia;SottoEstrusione;HomeFallito,GuastoMeccanico
ABS,279,42,93,45,1829,7,78.8,VentolaRumorosa,GuastoTermico
PETG,221,50,141,31,6513,31,26.7,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
ABS,240,76,152,75,6033,48,51.1,RumoreCinghia,GuastoMeccanico
PC,213,61,44,42,712,24,41.7,LayerSpostati;TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,235,44,46,66,3449,15,22.2,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PLA,154,64,44,39,3671,24,64.9,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,195,44,192,43,6922,56,14.1,LayerSpostati;SchermoNero,GuastoMeccanico
PC,203,65,122,38,499,24,75.8,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ABS,221,50,150,59,6817,48,94.0,LayerSpostati;TicchettioEstrusore;HomeFallito,GuastoMeccanico
PLA,193,42,86,54,2619,17,56.9,Warping,ProblemaAdesione
ASA,200,48,112,51,567,18,37.2,HomeFallito,GuastoMeccanico
ASA,278,73,47,78,2252,6,2.5,PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,200,22,142,94,1970,7,83.6,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
NYLON,222,44,70,54,3918,25,93.9,FilamentoNonEsce,ProblemaAdesione
ASA,237,49,96,62,3950,25,5.5,TempTroppoAlta,GuastoTermico
PC,223,28,81,73,2060,10,77.9,Warping;PiattoFreddo,ProblemaAdesione
TPU,191,71,165,41,3527,56,7.9,TicchettioEstrusore;HomeFallito,GuastoMeccanico
ASA,196,65,69,34,2031,24,62.1,HomeFallito,ProblemaElettrico
PLA,204,62,133,73,2491,25,87.2,TempInstabile;OdoreBruciato,ProblemaElettrico
PETG,203,33,121,77,1327,13,66.6,PiattoFreddo,ProblemaAdesione
NYLON,210,48,61,44,139,15,14.7,TicchettioEstrusore,GuastoMeccanico
PC,207,56,60,68,2074,6,64.8,PiattoFreddo;HomeFallito,GuastoTermico
TPU,239,41,136,76,5557,43,7.1,HomeFallito,GuastoMeccanico
TPU,218,42,132,87,2954,20,7.4,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ASA,196,66,115,79,1880,18,16.6,TempInstabile;TicchettioEstrusore,ProblemaElettrico
PLA,160,50,52,45,3244,24,35.7,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PETG,190,65,115,45,1560,25,16.1,TempInstabile,ProblemaElettrico
PC,230,54,134,51,4129,44,87.8,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
ABS,228,79,94,30,1328,10,18.8,FilamentoNonEsce,ProblemaAdesione
PC,227,60,106,31,125,7,60.1,RumoreCinghia;HomeFallito,GuastoMeccanico
ASA,221,73,45,90,510,25,66.3,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
ABS,214,42,111,61,3640,20,50.8,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
ASA,218,32,147,74,1725,12,43.9,Warping;PiattoFreddo,ProblemaAdesione
PC,170,54,138,48,4972,34,21.8,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
NYLON,232,67,95,50,3124,21,90.2,RumoreCinghia;SottoEstrusione,GuastoMeccanico
NYLON,216,49,127,43,3194,48,44.5,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PLA,261,45,125,75,1474,16,67.2,TempInstabile;VentolaRumorosa,GuastoTermico
PC,227,50,127,68,2886,18,47.4,PiattoFreddo,GuastoTermico
NYLON,193,78,116,37,5389,54,73.4,RumoreCinghia;LayerSpostati;HomeFallito,GuastoMeccanico
TPU,230,70,52,77,2812,7,72.4,OdoreBruciato,ProblemaElettrico
PC,213,56,178,80,5469,43,45.0,RumoreCinghia;HomeFallito,GuastoMeccanico
ASA,190,68,162,67,6390,60,56.4,SottoEstrusione,GuastoMeccanico
PC,155,52,52,31,4124,19,10.8,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
ASA,217,48,71,69,333,14,80.3,HomeFallito,ProblemaElettrico
ABS,196,72,109,64,6251,41,6.6,TicchettioEstrusore;HomeFallito,GuastoMeccanico
ABS,219,21,59,32,2190,17,59.8,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,195,60,55,50,1728,13,27.9,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
PC,217,54,45,71,3686,16,34.0,SchermoNero,ProblemaElettrico
ASA,202,74,43,76,2840,14,44.2,TempInstabile;HomeFallito,ProblemaElettrico
PC,194,64,71,77,1909,12,71.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,215,80,76,91,2047,24,40.8,OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,263,49,145,32,3600,46,12.3,VentolaRumorosa,GuastoTermico
ASA,235,70,47,43,1777,14,10.2,RumoreCinghia,GuastoMeccanico
ABS,215,51,62,60,3691,16,6.5,Warping,ProblemaAdesione
PC,209,79,187,63,4593,52,10.2,HomeFallito,GuastoMeccanico
PETG,235,40,120,81,3550,10,43.5,TempInstabile;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,191,56,100,70,2114,11,23.6,HomeFallito;SchermoNero,ProblemaElettrico
PETG,233,72,132,63,1295,22,87.4,TempInstabile,ProblemaElettrico
ABS,157,79,97,36,1811,6,87.8,TicchettioEstrusore;VentolaRumorosa,GuastoTermico
ABS,219,48,137,68,2080,22,40.1,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
PC,237,50,80,58,3981,5,55.1,HomeFallito;SchermoNero,ProblemaElettrico
TPU,211,23,50,64,3477,8,57.8,FilamentoNonEsce,ProblemaAdesione
PETG,254,66,92,64,3478,23,76.1,TempTroppoAlta;PiattoFreddo,GuastoTermico
PC,200,64,86,48,793,25,23.2,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
NYLON,240,44,125,73,688,7,85.8,Warping,ProblemaAdesione
ABS,268,74,84,39,4501,15,22.4,TempInstabile;TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,192,35,84,51,2879,8,39.9,Warping;FilamentoNonEsce,ProblemaAdesione
ASA,240,36,50,36,485,16,9.7,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,226,61,126,70,3286,52,92.5,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PETG,212,53,142,91,3392,49,70.0,SchermoNero,ProblemaElettrico
ASA,220,63,49,57,3968,7,53.1,RumoreCinghia;SottoEstrusione;HomeFallito;SchermoNero,GuastoMeccanico
ABS,198,53,192,69,6961,38,32.7,TicchettioEstrusore;SottoEstrusione,GuastoMeccanico
PC,258,64,135,36,3670,53,90.9,TicchettioEstrusore;VentolaRumorosa,GuastoTermico
TPU,235,48,80,71,3329,14,58.7,FilamentoNonEsce,ProblemaAdesione
TPU,250,80,65,77,4640,13,78.5,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,224,39,67,78,1402,19,68.3,Warping;PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
PETG,159,76,48,62,4277,14,35.3,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PETG,228,44,144,50,3569,58,42.2,PiattoFreddo,ProblemaAdesione
ABS,164,71,111,71,3355,19,11.9,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
PC,166,52,100,74,2033,13,33.1,TempInstabile,GuastoTermico
ASA,198,54,97,32,1785,23,89.7,Warping;HomeFallito,ProblemaAdesione
NYLON,234,63,132,55,337,14,40.2,TempInstabile,GuastoTermico
ABS,214,75,109,57,543,22,72.9,TempInstabile;TempTroppoAlta;PiattoFreddo,GuastoTermico
PLA,197,78,193,71,5402,40,22.6,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
PC,211,40,102,63,3532,17,34.8,HomeFallito;SchermoNero,ProblemaElettrico
NYLON,212,47,66,70,969,12,92.2,PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
NYLON,206,43,51,38,1394,15,2.5,RumoreCinghia;LayerSpostati;TicchettioEstrusore,GuastoMeccanico
PETG,200,28,121,67,2559,5,30.3,Warping;FilamentoNonEsce,ProblemaAdesione
ASA,234,62,113,91,2503,23,18.2,SchermoNero,ProblemaElettrico
ABS,198,47,59,79,3393,19,90.5,FilamentoNonEsce,ProblemaAdesione
ASA,237,45,123,47,6944,40,41.0,RumoreCinghia,GuastoMeccanico
PLA,159,53,53,60,4646,20,30.4,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,194,39,54,83,3763,25,85.4,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ABS,216,26,61,74,2188,20,36.9,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,193,37,48,32,2684,8,79.6,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PLA,251,67,104,35,2194,15,23.1,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
ABS,209,52,93,70,156,25,0.9,TempInstabile;PiattoFreddo,GuastoTermico
ABS,195,22,77,40,131,22,46.8,Warping;FilamentoNonEsce,ProblemaAdesione
NYLON,206,48,135,44,3490,34,80.3,RumoreCinghia;HomeFallito,GuastoMeccanico
PC,196,46,139,50,6021,40,24.4,SottoEstrusione,GuastoMeccanico
PETG,207,72,85,54,848,7,61.9,LayerSpostati;TicchettioEstrusore,GuastoMeccanico
ABS,219,70,118,71,5499,71,79.0,RumoreCinghia;HomeFallito,GuastoMeccanico
PC,218,56,120,71,3054,10,70.0,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
TPU,158,42,83,45,2301,8,6.4,TempTroppoAlta;VentolaRumorosa,GuastoTermico
PLA,230,43,103,80,250,20,25.7,TempInstabile;OdoreBruciato;HomeFallito,ProblemaElettrico
TPU,221,41,59,77,1088,16,66.0,TempInstabile;PiattoFreddo,GuastoTermico
ABS,217,72,133,65,121,19,80.6,TempInstabile;PiattoFreddo,GuastoTermico
PETG,230,68,64,44,1249,6,20.9,HomeFallito,ProblemaElettrico
PETG,261,68,107,66,1488,24,3.3,PiattoFreddo,GuastoTermico
PLA,209,80,105,49,5248,55,65.1,LayerSpostati;SottoEstrusione,GuastoMeccanico
PETG,207,78,158,61,5941,34,8.4,RumoreCinghia;HomeFallito,GuastoMeccanico
PLA,204,58,124,77,2677,25,68.2,VentolaRumorosa,GuastoTermico
NYLON,212,42,156,60,5936,48,68.4,TicchettioEstrusore,GuastoMeccanico
TPU,205,60,89,75,2284,15,18.1,OdoreBruciato;HomeFallito,ProblemaElettrico
ASA,233,45,190,68,6899,32,69.0,HomeFallito;VentolaRumorosa,GuastoMeccanico
PLA,195,59,93,50,3759,24,18.5,TempTroppoAlta;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,212,58,147,72,2563,5,42.4,TicchettioEstrusore;SottoEstrusione;HomeFallito,GuastoMeccanico
NYLON,209,44,118,67,5152,40,79.3,RumoreCinghia,GuastoMeccanico
PETG,235,71,138,58,121,13,11.9,TempInstabile;VentolaRumorosa,GuastoTermico
ASA,196,62,141,51,6095,46,29.1,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
PLA,238,59,146,57,3680,40,90.1,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,240,78,45,35,3115,11,77.2,Warping;TicchettioEstrusore;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,192,39,99,52,1555,19,42.8,Warping;PiattoFreddo;SchermoNero,ProblemaAdesione
TPU,217,51,106,91,1253,7,20.3,Warping;HomeFallito,ProblemaAdesione
PLA,210,40,69,41,3164,8,86.5,TempInstabile;PiattoFreddo;VentolaRumorosa,GuastoTermico
NYLON,200,74,124,45,2231,23,78.1,LayerSpostati;SottoEstrusione;HomeFallito,GuastoMeccanico
ABS,234,40,125,48,2598,9,50.0,TempInstabile;HomeFallito,ProblemaElettrico
TPU,161,51,99,35,4195,16,17.6,PiattoFreddo;VentolaRumorosa,GuastoTermico
PLA,232,24,112,54,1876,24,50.9,TicchettioEstrusore;FilamentoNonEsce,ProblemaAdesione
PETG,228,47,51,78,1684,8,31.5,OdoreBruciato;HomeFallito,ProblemaElettrico
NYLON,203,64,70,80,1506,14,27.7,TempInstabile;OdoreBruciato;SchermoNero,ProblemaElettrico
NYLON,282,41,121,58,2919,14,49.6,PiattoFreddo;VentolaRumorosa,GuastoTermico
PETG,163,71,79,53,2696,21,66.5,TempInstabile;HomeFallito,GuastoTermico
PETG,272,56,71,46,1652,9,45.6,TempInstabile,GuastoTermico
PETG,227,77,148,53,3905,53,95.6,RumoreCinghia,GuastoMeccanico
PETG,230,59,155,79,4320,40,35.2,RumoreCinghia;TicchettioEstrusore,GuastoMeccanico
TPU,234,66,126,80,2003,8,78.9,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,206,42,122,85,2072,9,14.8,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
PC,191,54,89,57,1812,23,39.3,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
ASA,220,67,162,64,5946,32,77.6,RumoreCinghia;LayerSpostati,GuastoMeccanico
TPU,204,45,100,74,1098,19,7.7,TempInstabile;HomeFallito,ProblemaElettrico
NYLON,165,54,96,42,3826,13,25.9,TempInstabile;TempTroppoAlta,GuastoTermico
PLA,217,46,137,48,200,9,86.0,TempInstabile;TicchettioEstrusore;OdoreBruciato;SchermoNero,ProblemaElettrico
ASA,234,47,40,44,1401,13,70.4,RumoreCinghia;SottoEstrusione,GuastoMeccanico
TPU,197,52,41,57,3336,6,60.9,RumoreCinghia,GuastoMeccanico
NYLON,224,47,55,71,3533,12,49.4,Warping;PiattoFreddo;FilamentoNonEsce,ProblemaAdesione
TPU,210,57,78,60,777,22,4.7,Warping;FilamentoNonEsce,ProblemaAdesione
TPU,228,61,142,52,152,10,69.2,OdoreBruciato;HomeFallito;SchermoNero,ProblemaElettrico
PC,206,77,119,56,1505,8,92.4,FilamentoNonEsce,ProblemaAdesione
NYLON,206,49,96,57,3896,18,36.2,FilamentoNonEsce;SchermoNero,ProblemaAdesione
ASA,233,45,75,88,3683,12,63.2,TempInstabile;HomeFallito,ProblemaElettrico
PLA,235,48,95,34,575,5,59.2,RumoreCinghia;SottoEstrusione,GuastoMeccanico
NYLON,220,28,77,55,846,12,7.4,PiattoFreddo;FilamentoNonEsce;VentolaRumorosa,ProblemaAdesione
PETG,151,58,142,39,4846,30,19.8,VentolaRumorosa,GuastoTermico
NYLON,192,40,88,61,1433,8,22.0,TempInstabile;HomeFallito,ProblemaElettrico
